idpozo,pet_2024,pet_2025,gas_2024,gas_2025,var_pet,var_gas
48544,0.0,0.0,0.0,0.0,,
48545,1110.80793,698.61901,894.171514,650.28176,-37.11,-27.28
48546,2297.4287,1584.20433,226.668858,122.383429,-31.04,-46.01
48547,0.0,0.0,0.0,0.0,,
48548,3107.7736,1734.3873,59.960482,38.027231,-44.19,-36.58
48549,2610.8805,2273.9038,133.795739,171.512204,-12.91,28.19
48551,172.07121,240.07094,4989.9365,4355.5909,39.52,-12.71
48553,239.252713,534.01583,21330.417,18821.169,123.2,-11.76
48556,609.48245,536.3467909999999,39991.44,34831.335,-12.0,-12.9
48557,299.11544,501.61184000000003,125.894593,117.454876,67.7,-6.7
48558,538.89805,421.77367000000004,0.737748,22.981408,-21.73,3015.08
48560,679.1706,2343.199,348.23694900000004,1156.56898,245.01,232.12
48562,0.0,0.0,0.0,0.0,,
48563,18.68461,41.241935,465.14562,448.12757999999997,120.73,-3.66
48564,169.380688,226.11619000000002,312.044265,78.334237,33.5,-74.9
48565,808.1629800000001,741.44542,106.373659,98.841711,-8.26,-7.08
48566,466.32753,402.31801,150.7329,111.64529399999999,-13.73,-25.93
48567,0.0,0.0,0.0,0.0,,
48568,0.0,0.0,0.0,0.0,,
48569,0.0,0.0,0.0,0.0,,
48570,647.28732,837.884,117.428685,175.540372,29.45,49.49
48573,303.188353,221.59034,10742.178,9939.6546,-26.91,-7.47
48574,1928.984,1191.0003,39.037378000000004,31.228926,-38.26,-20.0
48575,3808.2380000000003,1553.35458,190.283019,126.040754,-59.21,-33.76
48576,2929.3089,2442.5026,154.705981,205.155373,-16.62,32.61
48577,213.12598,144.702705,0.0,0.0,-32.1,
48579,787.73189,558.10248,1155.87601,454.13905,-29.15,-60.71
48580,0.0,0.0,0.0,0.0,,
48581,0.130981,164.25419,0.181789,94.87702,125303.07,52090.74
48582,412.84533,417.36175000000003,259.23998,128.675096,1.09,-50.36
48583,323.50931,306.621,0.0,0.0,-5.22,
48584,0.0,0.0,0.0,0.0,,
48585,659.00363,472.36996,99.121106,103.920709,-28.32,4.84
48586,662.75913,163.01327,334.39043,221.09511,-75.4,-33.88
48588,959.97519,642.88023,986.38303,485.44529,-33.03,-50.79
48589,1088.09042,682.6388,74.551378,221.361986,-37.26,196.93
48591,331.2171,303.60362,16.475011000000002,0.0,-8.34,-100.0
48593,905.90626,1900.12676,472.09797,316.57761600000003,109.75,-32.94
48594,767.37487,354.09979699999997,81.619235,203.98517,-53.86,149.92
48595,252.97609,1619.05939,69.290832,78.576555,540.0,13.4
48596,282.862768,370.31747,332.36062,121.496871,30.92,-63.44
48598,669.46782,373.47632,63.122436,207.102972,-44.21,228.1
48600,36.375042,0.0,109.031272,0.0,-100.0,-100.0
48601,220.12832,361.09738,256.609584,142.880283,64.04,-44.32
48603,685.59212,404.75926,304.59733,598.01428,-40.96,96.33
48604,637.9666,1082.99257,1133.09984,854.3281099999999,69.76,-24.6
48605,525.10055,433.98043,0.0,83.71541,-17.35,
48607,251.86151,190.36381,110.029805,153.33694,-24.42,39.36
48608,37.949695,2.326066,63.065247,2.445201,-93.87,-96.12
48609,0.0,0.0,0.0,0.0,,
48612,230.13993,260.07817,281.56758,237.44533,13.01,-15.67
48613,235.73657,58.38252,0.0,0.0,-75.23,
48614,215.012184,132.626907,0.0,5.970207,-38.32,
48615,589.69292,501.27095999999995,364.7179,151.314505,-14.99,-58.51
48616,150.61937,102.417133,0.0,0.0,-32.0,
48617,338.39254,188.81083,469.29441,202.091094,-44.2,-56.94
48618,627.03129,186.80041,162.88003,38.410597,-70.21,-76.42
48619,397.70008,549.38695,0.0,0.0,38.14,
48620,606.45859,758.02936,34.19053,35.736075,24.99,4.52
48621,19.309717,0.0,12.643782000000002,0.0,-100.0,-100.0
48622,1723.5816,1236.48018,103.16381,150.060217,-28.26,45.46
48623,98.178873,101.331892,163.078485,73.919795,3.21,-54.67
48624,85.0629,47.554633,43.647479,20.484161,-44.09,-53.07
48629,30.635486,450.10279,6.644181,382.63563,1369.22,5658.96
48635,297.32496,198.23427,91.006006,133.493771,-33.33,46.69
48636,102.94619800000001,193.71142,88.42286,58.471077,88.17,-33.87
48638,326.88344,268.62440000000004,13.139611,6.309544,-17.82,-51.98
48643,1171.83845,776.34205,136.73608,67.197019,-33.75,-50.86
48647,682.7145399999999,666.3937,0.0,0.0,-2.39,
48648,0.0,488.78348,0.0,0.0,,
48649,1611.6342,1454.89363,56.199997,63.706384,-9.73,13.36
48651,0.0,0.003472,0.0,0.0,,
48654,0.0,0.0,0.0,0.0,,
48655,0.0,0.0,0.0,0.0,,
48660,119.605726,157.21280000000002,88.95268300000001,93.126571,31.44,4.69
48665,1270.83493,729.7462,236.622257,429.84742,-42.58,81.66
48666,180.59104,177.60787,12.342963,10.141068,-1.65,-17.84
48667,0.0,0.0,0.0,0.0,,
48668,345.39540999999997,315.54378,0.0,0.0,-8.64,
48670,455.54446,367.70601,0.0,0.0,-19.28,
48673,364.741248,254.291045,0.0,0.0,-30.28,
48677,106.850475,87.294215,0.0,0.0,-18.3,
48678,0.0,0.0,0.0,0.0,,
