idpozo,1,2,3,4,5,6,7,8,9,10,11,primer_semestre,segundo_semestre,variacion
500,15.5,13.5,13.5,13.0,15.0,14.0,15.0,12.3333,13.5,15.3333,14.8125,84.5,70.9791,-16.0
501,15.0,14.0,15.0,14.5,14.0,15.0,15.0,14.8333,14.5,33.1833,30.3875,87.5,107.90410000000001,23.32
506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,75.667,0.0,119.667,
530,33.4,30.8,40.6,63.8,62.8,59.86,62.11,62.59,60.72,41.0,60.53,291.26000000000005,286.95000000000005,-1.48
533,0.0,0.0,0.0,99.9,96.7,92.54,96.49,94.91,93.78,113.7,95.07,289.14000000000004,493.94999999999993,70.83
541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
544,21.33811,21.03753,24.44908,22.59715,37.75847,31.52958,33.86266,33.61526,40.96276,47.57161,53.0464,158.70992,209.05869,31.72
545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
555,6.403938,6.100127,6.348445,5.896882,9.313033,11.37249,11.10132,5.433852,4.005,6.061027,4.270395,45.434915000000004,30.871593999999998,-32.05
556,13.5353,18.57313,19.58664,17.92476,39.3503,48.20542,44.1404,19.24431,14.60789,23.04129,15.95181,157.17555000000002,116.9857,-25.57
558,21.52868,26.67518,30.68966,30.3442,34.30503,21.3106,20.01959,11.99847,11.50645,19.35072,15.30407,164.85335,78.1793,-52.58
559,15.8768,15.15965,15.98689,14.54123,29.43366,39.4986,38.58866,18.82061,14.70162,31.02677,20.31432,130.49683,123.45197999999999,-5.4
560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
561,44.13029,38.15396,45.21378,40.65167,38.57219,37.61273,36.26413,17.62952,10.23652,21.04659,17.16877,244.33462,102.34553,-58.11
563,15.25938,15.03691,11.52665,15.59375,17.22809,6.520242,32.54538,14.111,10.75342,18.52663,11.02997,81.165022,86.96640000000001,7.15
