idpozo,empresa,provincia,tipo_de_recurso,prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,tef,inyeccion_total,eficiencia_pet
165180,YPF S.A.,Neuquén,NO CONVENCIONAL,37447.9,5538.58,3268.89,0.0,0.0,273.06,0.0,
164861,CHEVRON ARGENTINA S.R.L.,Neuquén,NO CONVENCIONAL,37328.2,18086.85437,17135.47,0.0,0.0,317.1883333366667,0.0,
163525,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,Neuquén,NO CONVENCIONAL,36823.51,23554.2,43479.79,0.0,0.06,355.0,0.06,613725.1666666667
164732,YPF S.A.,Neuquén,NO CONVENCIONAL,36759.28,5029.75,17696.05,0.0,0.0,353.25,0.0,
164963,YPF S.A.,Neuquén,NO CONVENCIONAL,36758.38,3037.2200000000003,18701.72,0.0,0.0,340.71000000000004,0.0,
164964,YPF S.A.,Neuquén,NO CONVENCIONAL,36757.41,3090.06,15688.07,0.0,0.0,340.84000000000003,0.0,
163694,YPF S.A.,Neuquén,NO CONVENCIONAL,36618.21,7762.8099999999995,2652.51,0.0,0.0,356.63,0.0,
164636,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,36386.162,79587.014,27643.189,0.0,0.0,195.1875,0.0,
163601,YPF S.A.,Neuquén,NO CONVENCIONAL,36330.19,4360.0599999999995,202.63,0.0,0.0,347.37,0.0,
165278,YPF S.A.,Neuquén,NO CONVENCIONAL,36287.5,11721.33,17784.0,0.0,0.0,255.8,0.0,
165098,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,36178.37,3841.85,7025.42,0.0,0.0,294.49,0.0,
162568,YPF S.A.,Neuquén,NO CONVENCIONAL,35973.71,11211.6,20687.04,0.0,0.0,363.35,0.0,
164466,YPF S.A.,Neuquén,NO CONVENCIONAL,35828.4,4515.49,17246.41,0.0,0.0,325.61,0.0,
164804,YPF S.A.,Neuquén,NO CONVENCIONAL,35780.81,3189.01,3107.46,0.0,0.0,354.62,0.0,
163251,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,35736.735,4588.5830000000005,4598.0019999999995,0.0,0.0,345.574,0.0,
165103,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,35719.824,30115.521,25681.699,0.0,0.0,132.81249,0.0,
164550,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,35639.926999999996,3313.016,4652.655,0.0,0.0,349.777,0.0,
